"IUCN","IUCN Category","SPEC","Species","COU","Country","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TOT_KNOWN","Total number of known species","BIRD","Birds","AUS","Australia","NBR","Number","0","Units",,,790,,
"ENDANGERED","Number of endangered species","BIRD","Birds","AUS","Australia","NBR","Number","0","Units",,,51,,
"CRITICAL","Number of critically endangered species","BIRD","Birds","AUS","Australia","NBR","Number","0","Units",,,16,,
"VULNERABLE","Number of vulnerable species","BIRD","Birds","AUS","Australia","NBR","Number","0","Units",,,66,,
"TOT_KNOWN","Total number of known species","BIRD","Birds","AUT","Austria","NBR","Number","0","Units",,,242,,
"ENDANGERED","Number of endangered species","BIRD","Birds","AUT","Austria","NBR","Number","0","Units",,,14,,
"CRITICAL","Number of critically endangered species","BIRD","Birds","AUT","Austria","NBR","Number","0","Units",,,33,,
"VULNERABLE","Number of vulnerable species","BIRD","Birds","AUT","Austria","NBR","Number","0","Units",,,19,,
"TOT_KNOWN","Total number of known species","BIRD","Birds","CZE","Czech Republic","NBR","Number","0","Units",,,210,,
"ENDANGERED","Number of endangered species","BIRD","Birds","CZE","Czech Republic","NBR","Number","0","Units",,,31,,
"CRITICAL","Number of critically endangered species","BIRD","Birds","CZE","Czech Republic","NBR","Number","0","Units",,,32,,
"VULNERABLE","Number of vulnerable species","BIRD","Birds","CZE","Czech Republic","NBR","Number","0","Units",,,47,,
"TOT_KNOWN","Total number of known species","BIRD","Birds","FRA","France","NBR","Number","0","Units",,,391,,
"ENDANGERED","Number of endangered species","BIRD","Birds","FRA","France","NBR","Number","0","Units",,,33,,
"CRITICAL","Number of critically endangered species","BIRD","Birds","FRA","France","NBR","Number","0","Units",,,16,,
"VULNERABLE","Number of vulnerable species","BIRD","Birds","FRA","France","NBR","Number","0","Units",,,58,,
"TOT_KNOWN","Total number of known species","BIRD","Birds","GRC","Greece","NBR","Number","0","Units",,,440,,
"ENDANGERED","Number of endangered species","BIRD","Birds","GRC","Greece","NBR","Number","0","Units",,,17,,
"CRITICAL","Number of critically endangered species","BIRD","Birds","GRC","Greece","NBR","Number","0","Units",,,14,,
"VULNERABLE","Number of vulnerable species","BIRD","Birds","GRC","Greece","NBR","Number","0","Units",,,31,,
"TOT_KNOWN","Total number of known species","BIRD","Birds","ITA","Italy","NBR","Number","0","Units",,,267,,
"ENDANGERED","Number of endangered species","BIRD","Birds","ITA","Italy","NBR","Number","0","Units",,,22,,
"CRITICAL","Number of critically endangered species","BIRD","Birds","ITA","Italy","NBR","Number","0","Units",,,6,,
"VULNERABLE","Number of vulnerable species","BIRD","Birds","ITA","Italy","NBR","Number","0","Units",,,46,,
"TOT_KNOWN","Total number of known species","BIRD","Birds","JPN","Japan","NBR","Number","0","Units",,,700,,
"ENDANGERED","Number of endangered species","BIRD","Birds","JPN","Japan","NBR","Number","0","Units",,,31,,
"CRITICAL","Number of critically endangered species","BIRD","Birds","JPN","Japan","NBR","Number","0","Units",,,23,,
"VULNERABLE","Number of vulnerable species","BIRD","Birds","JPN","Japan","NBR","Number","0","Units",,,43,,
"TOT_KNOWN","Total number of known species","BIRD","Birds","LVA","Latvia","NBR","Number","0","Units",,,233,,
"ENDANGERED","Number of endangered species","BIRD","Birds","LVA","Latvia","NBR","Number","0","Units",,,19,,
"CRITICAL","Number of critically endangered species","BIRD","Birds","LVA","Latvia","NBR","Number","0","Units",,,4,,
"VULNERABLE","Number of vulnerable species","BIRD","Birds","LVA","Latvia","NBR","Number","0","Units",,,16,,
"TOT_KNOWN","Total number of known species","BIRD","Birds","MEX","Mexico","NBR","Number","0","Units",,,1123,,
"ENDANGERED","Number of endangered species","BIRD","Birds","MEX","Mexico","NBR","Number","0","Units",,,90,,
"CRITICAL","Number of critically endangered species","BIRD","Birds","MEX","Mexico","NBR","Number","0","Units",,,19,,
"VULNERABLE","Number of vulnerable species","BIRD","Birds","MEX","Mexico","NBR","Number","0","Units",,,124,,
"TOT_KNOWN","Total number of known species","BIRD","Birds","NLD","the Netherlands","NBR","Number","0","Units",,,168,,
"ENDANGERED","Number of endangered species","BIRD","Birds","NLD","the Netherlands","NBR","Number","0","Units",,,12,,
"CRITICAL","Number of critically endangered species","BIRD","Birds","NLD","the Netherlands","NBR","Number","0","Units",,,10,,
"VULNERABLE","Number of vulnerable species","BIRD","Birds","NLD","the Netherlands","NBR","Number","0","Units",,,18,,
